,Dates,Year,SALES_REV_TURN,IS_COGS_TO_FE_AND_PP_AND_G,GROSS_PROFIT,IS_OPER_INC,EBITDA,IS_INC_TAX_EXP,EBIT,IS_INT_EXPENSE,IS_INT_INC,IS_NET_INTEREST_EXPENSE,IS_DEPR_EXP,IS_INVEST_INCOME,BS_TOT_ASSET,TOTAL_EQUITY,BS_TOT_LIAB2,BS_ST_DEBT,BS_LT_BORROW,C&CE_AND_STI_DETAILED,BS_SH_OUT,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,BS_ACCT_NOTE_RCV,ACCT_PAYABLE_&_ACCRUALS_DETAILED,BS_ACCT_PAYABLE,BS_ACCTS_REC_EXCL_NOTES_REC,BS_INVENTORIES,CF_CASH_FROM_OPER,CF_CASH_FROM_INV_ACT,CF_CASH_FROM_FNC_ACT,GICS_SECTOR,GICS_INDUSTRY_GROUP,GICS_INDUSTRY,GICS_SUB_INDUSTRY,ARD_NET_INC,SHORT_TERM_DEBT_DETAILED,LONG_TERM_BORROWINGS_DETAILED,symbol
1138,31/12/2016,2016,6576,1279,5297,868,1541,557,868,334,0,334,353,NA,26211,5849,20362,0,6583,1062,329.342,3557,2684,755,1208,314,755,0,1310,-423,-59,NA,NA,NA,NA,338,0,6583,HLT US EQUITY
1139,31/12/2017,2017,8131,1269,6862,1132,1468,-336,1132,351,0,351,336,NA,14228,1691,12537,0,6556,570,317.4209,2007,2462,1005,1237,282,1005,0,849,-147,-1716,NA,NA,NA,NA,1084,0,6556,HLT US EQUITY
1140,31/12/2018,2018,8906,1332,7574,1432,1757,309,1432,371,0,371,325,NA,13995,558,13437,0,7266,403,294.8159,1983,2615,1150,1347,283,1150,0,1255,-131,-1310,NA,NA,NA,NA,764,0,7266,HLT US EQUITY
1141,31/12/2004,2004,25593,20752,4841,1525,2139,377,1525,331,100,231,572,NA,31062,11252,19810,NA,4069,3586,850.0133,12820,8739,4243,2564,2564,NA,3160,2253,-584,-1033,NA,NA,NA,NA,1246,NA,NA,HON US EQUITY
1142,31/12/2005,2005,27652,21524,6128,2421,3074,732,2421,440,84,356,578,NA,31633,10762,20871,NA,3082,1234,829.483,11962,10430,5017,2886,2886,NA,3401,2442,-2010,-2784,NA,NA,NA,NA,1638,2024,3082,HON US EQUITY
1143,31/12/2006,2006,31367,24096,7271,3061,3855,720,3061,374,94,280,650,NA,30941,9720,21221,NA,3909,1224,800.5915,12304,10135,5740,3518,3518,NA,3588,3211,-614,-2607,NA,NA,NA,NA,2083,1154,3909,HON US EQUITY
1144,31/12/2007,2007,34589,26300,8289,3724,4561,877,3724,456,81,375,675,NA,33805,9222,24583,NA,5419,1829,746.5539,13685,11941,6387,3962,3962,NA,3861,3911,-1782,-1524,NA,NA,NA,NA,2444,2238,5419,HON US EQUITY
1145,31/12/2008,2008,36556,27994,8562,3529,4432,1009,3529,456,102,354,702,NA,35490,7187,28303,NA,5865,2065,734.5862,13263,12289,6129,3773,3773,NA,3848,3791,-2023,-1532,NA,NA,NA,NA,2792,2510,5865,HON US EQUITY
1146,31/12/2009,2009,29951,23260,6691,2368,3325,436,2368,458,33,425,686,NA,35993,8971,27022,343,6246,2801,764.2,13936,11147,6274,9779,3633,6274,3446,3946,-1133,-2077,NA,NA,NA,NA,1548,343,6246,HON US EQUITY
1147,31/12/2010,2010,32350,24721,7629,3011,3998,765,3011,386,39,347,707,NA,37834,10787,27047,366,5755,2650,783,15486,11724,5534,10629,4199,5534,3822,4203,-2269,-2085,NA,NA,NA,NA,2022,366,5755,HON US EQUITY
